graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
Arpanet19719.graphml,17,Super Trees,10.2898,39.4474,0.2974,0.2823,3.9636
Arpanet19723.graphml,23,Beacon Nodes,8.6802,16.2044,0.054,0.0,1.9092
Arpanet19723.graphml,23,Global Controller,7.6057,21.7352,0.0568,0.0,1.9092
Arpanet19723.graphml,23,PrioList,1.9821,19.5169,0.0421,0.0,1.9092
Arpanet19723.graphml,23,Simple Decomposition,1.8927,18.4207,0.0373,0.0,1.9092
Arpanet19723.graphml,23,Super Trees,2.1002,30.8919,0.2411,0.4082,4.152
Arpanet19728.graphml,27,Beacon Nodes,2.319,19.891,0.06,0.0,2.3121
Arpanet19728.graphml,27,Global Controller,13.4828,21.9273,0.0541,0.0,2.3121
Arpanet19728.graphml,27,PrioList,2.2779,19.1351,0.0403,0.0,2.3121
Arpanet19728.graphml,27,Simple Decomposition,2.3392,16.9135,0.0282,0.0,2.3121
Arpanet19728.graphml,27,Super Trees,2.4477,42.5451,0.2705,0.2085,5.0658
Atmnet.graphml,21,Beacon Nodes,3.624,22.2248,0.0748,0.0,1.9276
Atmnet.graphml,21,Global Controller,4.0734,16.741,0.06,0.0,1.9276
Atmnet.graphml,21,PrioList,3.8329,14.8724,0.0901,0.0,1.9276
Atmnet.graphml,21,Simple Decomposition,3.893,16.7743,0.0681,0.0,1.9276
Atmnet.graphml,21,Super Trees,3.7428,35.6045,0.1472,0.2041,2.7583
AttMpls.graphml,25,Beacon Nodes,13.4884,27.3296,0.0083,0.0,1.8747
AttMpls.graphml,25,Global Controller,12.1199,41.1481,0.0065,0.0,1.8747
AttMpls.graphml,25,PrioList,13.1659,42.6376,0.0075,0.0,1.8747
AttMpls.graphml,25,Simple Decomposition,13.4944,46.2443,0.0135,0.0,1.8747
AttMpls.graphml,25,Super Trees,15.9724,40.754,0.0201,0.4643,1.4962
Bbnplanet.graphml,27,Beacon Nodes,8.2135,24.1549,0.1072,0.0,1.0725
Bbnplanet.graphml,27,Global Controller,8.4152,27.501,0.0934,0.0,1.0725
Bbnplanet.graphml,27,PrioList,8.888,35.5381,0.112,0.0,1.0725
Bbnplanet.graphml,27,Simple Decomposition,8.2783,26.0986,0.1233,0.0,1.0725
Bbnplanet.graphml,27,Super Trees,8.1802,39.082,0.2525,0.3378,1.7506
Bellcanada.graphml,48,Beacon Nodes,28.8157,65.4371,0.1565,0.4423,4.0027
Bellcanada.graphml,48,Global Controller,30.9737,64.5232,0.1454,0.417,4.0027
Bellcanada.graphml,48,PrioList,28.9535,75.0327,0.1716,0.2823,4.0027
Bellcanada.graphml,48,Simple Decomposition,27.9927,69.5398,0.1635,0.2941,4.0027
