#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.004056, 0.039644
5, 0.002488, 0.039917
5, 0.004128, 0.044674
5, 0.003155, 0.040022
5, 0.003096, 0.037662
5, 0.003294, 0.039214
5, 0.003110, 0.040048
5, 0.003114, 0.040025
5, 0.002294, 0.038797
5, 0.003653, 0.036718
5, 0.004259, 0.039662
5, 0.002511, 0.039546
5, 0.003033, 0.036421
5, 0.003162, 0.036719
5, 0.002067, 0.041889
5, 0.003170, 0.040099
5, 0.002079, 0.039867
5, 0.003083, 0.045385
5, 0.003329, 0.050066
5, 0.003177, 0.048720
5, 0.003112, 0.048320
5, 0.004219, 0.042212
5, 0.004000, 0.045456
5, 0.003119, 0.041117
5, 0.002070, 0.042741
5, 0.002084, 0.041935
5, 0.004096, 0.040489
5, 0.003023, 0.043179
5, 0.003350, 0.041051
5, 0.004273, 0.039963
5, 0.004994, 0.040710
5, 0.004201, 0.041847
5, 0.004376, 0.036371
5, 0.004048, 0.038759
5, 0.004915, 0.042319
5, 0.003093, 0.040797
5, 0.003147, 0.042535
5, 0.010012, 0.040540
5, 0.003181, 0.039628
5, 0.003000, 0.042553
5, 0.002406, 0.042799
5, 0.004000, 0.041743
5, 0.002058, 0.042560
5, 0.003004, 0.046011
5, 0.003227, 0.036039
5, 0.004599, 0.037210
5, 0.004031, 0.043296
5, 0.004210, 0.038800
5, 0.003154, 0.040622
5, 0.003114, 0.039156
5, 0.003189, 0.035633
5, 0.003163, 0.043344
5, 0.003044, 0.043385
5, 0.003560, 0.046316
5, 0.004513, 0.062017
5, 0.004056, 0.061159
5, 0.004504, 0.055766
5, 0.004738, 0.056393
5, 0.003413, 0.052666
5, 0.006202, 0.052536
5, 0.003718, 0.055966
5, 0.004765, 0.047561
5, 0.003663, 0.041848
5, 0.003000, 0.050842
5, 0.003000, 0.044091
5, 0.004998, 0.042872
5, 0.003089, 0.043668
5, 0.003105, 0.044464
5, 0.003123, 0.040455
5, 0.003124, 0.049172
5, 0.004131, 0.044978
5, 0.003550, 0.039357
5, 0.003274, 0.037930
5, 0.003104, 0.039748
5, 0.003288, 0.039314
5, 0.002070, 0.038099
5, 0.004054, 0.037358
5, 0.005028, 0.036139
5, 0.003506, 0.039707
5, 0.005202, 0.037470
5, 0.003155, 0.043895
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003344, 0.037889
5, 0.003547, 0.043566
5, 0.003716, 0.041358
5, 0.003488, 0.038434
5, 0.003312, 0.042287
5, 0.004103, 0.042629
5, 0.002490, 0.040342
5, 0.003175, 0.044550
5, 0.003075, 0.041824
5, 0.003198, 0.040959
5, 0.002490, 0.043387
5, 0.003047, 0.043627
5, 0.003999, 0.046375
5, 0.004396, 0.042590
5, 0.003024, 0.042882
5, 0.003079, 0.043179
5, 0.006295, 0.044202
5, 0.004169, 0.050708
5, 0.003001, 0.042584
5, 0.005059, 0.041388
5, 0.004036, 0.041878
5, 0.002224, 0.040569
5, 0.003003, 0.036939
5, 0.002104, 0.046184
5, 0.003058, 0.045898
5, 0.003527, 0.045117
5, 0.004401, 0.043667
5, 0.003293, 0.044029
5, 0.002264, 0.040959
5, 0.002089, 0.040689
5, 0.002062, 0.044490
5, 0.046037, 0.054467
5, 0.004207, 0.038336
5, 0.004081, 0.036579
5, 0.002026, 0.041221
5, 0.003315, 0.042265
5, 0.004312, 0.039696
5, 0.003235, 0.040643
5, 0.002183, 0.036926
5, 0.003743, 0.041935
5, 0.002066, 0.040953
5, 0.003324, 0.037780
5, 0.003608, 0.037688
5, 0.003156, 0.041933
5, 0.003089, 0.043762
5, 0.003255, 0.044051
5, 0.004618, 0.041453
5, 0.003398, 0.042629
5, 0.002049, 0.040603
